Areaname,STCOU,PST035195D,IPE120205D,CRM160205D
UNITED STATES,00000,266278393,13.3,405471
ALABAMA,01000,4296800,16.9,5636
"Autauga, AL",01001,39112,10.4,28
"Baldwin, AL",01003,120896,11.4,37
"Barbour, AL",01005,27854,22.4,1
"Bibb, AL",01007,18507,16.6,3
"Blount, AL",01009,44060,11.4,6
"Bullock, AL",01011,11431,38.2,3
"Butler, AL",01013,21824,23.1,15
"Calhoun, AL",01015,116790,16.9,159
"Chambers, AL",01017,37179,16.2,8
"Cherokee, AL",01019,21871,16.2,1
"Chilton, AL",01021,35537,16.1,9
"Choctaw, AL",01023,16195,24.4,1
"Clarke, AL",01025,27455,20.9,5
"Clay, AL",01027,13590,15.8,1
"Cleburne, AL",01029,13080,15.5,6
"Coffee, AL",01031,43174,15.1,25
"Colbert, AL",01033,53702,15.7,20
"Conecuh, AL",01035,14322,27.7,6
"Coosa, AL",01037,11952,18.7,6
"Covington, AL",01039,37489,18.4,12
"Crenshaw, AL",01041,13585,23.5,2
"Cullman, AL",01043,73037,14.7,18
"Dale, AL",01045,50303,16,23
"Dallas, AL",01047,47706,34.9,7
"DeKalb, AL",01049,59779,19.4,1
"Elmore, AL",01051,57402,13.1,16
"Escambia, AL",01053,37126,22.2,44
"Etowah, AL",01055,102342,15.8,152
"Fayette, AL",01057,18232,17.9,1
"Franklin, AL",01059,29949,19.5,8
"Geneva, AL",01061,24975,20.3,3
"Greene, AL",01063,10082,33.9,1
"Hale, AL",01065,16279,30.4,7
"Henry, AL",01067,15875,17.6,2
"Houston, AL",01069,85022,14.9,160
"Jackson, AL",01071,50948,18.8,19
"Jefferson, AL",01073,666106,15.7,1991
"Lamar, AL",01075,15784,17,0
"Lauderdale, AL",01077,85260,18.5,71
"Lawrence, AL",01079,33177,16,3
"Lee, AL",01081,99386,20.6,112
"Limestone, AL",01083,60076,13,4
"Lowndes, AL",01085,13092,29.5,16
"Macon, AL",01087,24150,32,2
"Madison, AL",01089,265495,10.3,551
"Marengo, AL",01091,23117,25.2,8
"Marion, AL",01093,30920,18.4,1
"Marshall, AL",01095,78924,18.7,14
"Mobile, AL",01097,395664,20,703
"Monroe, AL",01099,24802,22.3,5
"Montgomery, AL",01101,222041,17.4,847
"Morgan, AL",01103,107227,14,69
"Perry, AL",01105,12451,34.9,6
"Pickens, AL",01107,20902,23.3,16
"Pike, AL",01109,29113,28.6,28
"Randolph, AL",01111,21258,19.2,4
"Russell, AL",01113,51328,20,0
"St. Clair, AL",01115,57654,13.2,19
"Shelby, AL",01117,122508,6.3,50
"Sumter, AL",01119,15911,36.6,13
"Talladega, AL",01121,77381,19.3,21
"Tallapoosa, AL",01123,40269,18.2,34
"Tuscaloosa, AL",01125,160396,20.4,202
"Walker, AL",01127,69262,15.6,24
"Washington, AL",01129,17437,20.2,1
"Wilcox, AL",01131,13557,37.8,5
"Winston, AL",01133,23490,21.8,0
ALASKA,02000,604412,10.8,533
"Aleutians East, AK",02013,2619,16.8,0
"Aleutians West, AK",02016,5964,9.2,0
"Anchorage, AK",02020,251981,9.2,386
"Bethel, AK",02050,15116,20,4
"Bristol Bay, AK",02060,1144,9.1,1
"Denali, AK",02068,1940,6.6,0
"Dillingham, AK",02070,4540,22.7,0
"Fairbanks North Star, AK",02090,81941,8.9,65
"Haines, AK",02100,2307,11.9,0
"Hoonah-Angoon, AK",02105,3800,12.9,0
"Juneau, AK",02110,29479,7.3,14
"Kenai Peninsula, AK",02122,46719,11.2,2
"Ketchikan Gateway, AK",02130,14781,9.3,2
